year,term,college,subject,subject_name,number,name,description,credit_hours,gen_ed,gen_ed_name,crn,section,section_info,section_notes,section_attributes,section_capp_area,section_co_request,section_special_approval,part_of_term,start_date,end_date,meeting,type,type_name,start_time,end_time,days,room,building,instructor
2018,Winter,KL,ACE,Agricultural and Consumer Economics,240,Personal Financial Planning,"Examines principles of financial planning applied to individuals and households, with attention to organizing and analyzing financial information, budgeting, acquiring financial assets, managing credit, planning for taxes, investments, risk management, retirement, and estate planning. Prerequisite: Sophomore standing or consent of instructor.",3 hours.,,,10035,ONL,"This section has one or more proctored exams, which may carry additional fees.  For ProctorU technical specifications and additional information visit:  http://citl.illinois.edu/services/for-students/proctoru.",,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Stoddard, P"
2018,Winter,KT,ADV,Advertising,312,Advertising History,"In this course, you will develop a rich knowledge base of advertising and the advertising industry as it has evolved in the United States over the last two centuries. Included will be an analysis of the key events, forces, people and technology. Credit is not given for ADV 312 if credit for ADV 412 has been earned.",3 hours.,,,10003,A  ,"Students who have completed ADV 412 should not register for ADV 312.  While the number is different, the course content is the same.  Registering for the new course would be seen as duplicate credit.  Duplicate credit does not count toward graduation and students registering for the duplicate course will be asked to drop.",,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Chambers, J"
2018,Winter,KR,ART,Art,100,Understanding Visual Culture,"Interdisciplinary methods in recognizing and understanding meaning of a wide range of visual messages in the arts, design, and culture, with emphasis on critical thinking and analysis. Topics include: visual perception, visual persuasion, the visual interpretation of time and space, humor. Contemporary art and design are explored through the use of semiotics and historical, cultural and ethical aesthetic and technical perspectives.",3 hours.,1LA,Humanities – Lit & Arts,10045,JB ,The learning platform will be Compass.,,Humanities - Lit & Arts course.,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Burns, J"
2018,Winter,KV,ASTR,Astronomy,100,Introduction to Astronomy,"Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10005,ONL,"This section has one or more proctored exams, which may carry additional fees. For ProctorU technical specifications and additional information visit: http://citl.illinois.edu/services/for-students/proctoru.",,Nat Sci & Tech - Phys Sciences course.,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Dunne, B"
2018,Winter,KV,ATMS,Atmospheric Sciences,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,1PS,Nat Sci & Tech - Phys Sciences,10002,ONL,,,"Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2018,Winter,KV,ATMS,Atmospheric Sciences,120,Severe and Hazardous Weather,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",3 hours.,1QR2,Quantitative Reasoning II,10002,ONL,,,"Nat Sci & Tech - Phys Sciences, and Quantitative Reasoning II course.",,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Snodgrass, E"
2018,Winter,KM,BADM,Business Administration,300,The Legal Environment of Bus,"Introduction to law and the legal system, tort law, products liability, agency law, introduction to business organizations, introduction to government regulation, securities regulation, antitrust law.",3 hours.,,Quantitative Reasoning II,10013,A  ,Please be aware this course will be cancelled if a 20 student minimum enrollment is not met.   Please find information about the online course here: http://publish.illinois.edu/onlinestudentorientation/.,,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Fricke, M"
2018,Winter,KM,BADM,Business Administration,310,Mgmt and Organizational Beh,"General analysis of management and organizational behavior from a systems point of view, including classical organizational theory and management, organizational behavior, and management science; environmental forces; planning, organizing, and control processes; motivation, incentives, leadership, communication, and interpersonal relations; and discussion of production and decision-making and mathematical models.",3 hours.,,Quantitative Reasoning II,10014,A  ,Please be aware this course will be cancelled if a 20 student minimum enrollment is not met.   Please find information about the online course here: http://publish.illinois.edu/onlinestudentorientation/.,,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Gill, S"
2018,Winter,KM,BADM,Business Administration,350,IT for Networked Organizations,"Examines the information technology and its impact on modern organizations. Topics include: (1) IT, Internet Technologies, E-Commerce and business models, (2) organizing and modeling enterprise data, (3) Network protocol and architecture, (4) development of IT systems, and (5) IT management and organization design.",3 hours.,,Quantitative Reasoning II,10015,A  ,Please be aware this course will be cancelled if a 20 student minimum enrollment is not met.   Please find information about the online course here: http://publish.illinois.edu/onlinestudentorientation/.,,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Sachdev, V"
2018,Winter,KM,BADM,Business Administration,375,Business Process Management,"Explores methods of design and management of manufacturing and service business processes; central concepts include managing process-speed, -capacity, -inventory, and -uncertainty; additional topics include simultaneous product and process design, and an introduction to quality management, process improvement and lean thinking.",3 hours.,,Quantitative Reasoning II,10016,A  ,Please be aware this course will be cancelled if a 20 student minimum enrollment is not met.   Please find information about the online course here: http://publish.illinois.edu/onlinestudentorientation/.,,,,,,1,2017-12-22Z,2018-01-13Z,0,ONL,Online,ARRANGED,,,,,"Chhajed, D"
